brand,stars,reviewsCount,Category,price/value,brands,main_category
HiFiMAN,4.4,732.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",11999.0,hifiman,Headphones
Microsoft,4.1,6.0,Computers & Accessories › Laptops › Traditional Laptops,102990.0,microsoft,Traditional Laptops
Samsung,4.0,9490.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,11990.0,samsung,Smartphones & Basic Mobiles
Dell,5.0,1.0,Computers & Accessories › Laptops › Traditional Laptops,50990.0,dell,Traditional Laptops
VYBE,1.0,1.0,Home & Kitchen › Large Appliances › Refrigerators,4449.0,vybe,Refrigerators
Mivi,4.3,38729.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,799.0,mivi,Speakers
GSH,4.0,494.0,Toys & Games › Electronic Toys › Plug & Play Video Games,2299.0,gsh,Plug & Play Video Games
EvoFox,3.0,10.0,Video Games › Xbox Series X & S › Consoles,9999.0,evofox,Consoles
ZEBRONICS,3.5,39743.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",169.0,zebronics,Headphones
MI,4.2,67782.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",11490.0,mi,Televisions
Vibez,4.0,786.0,Fashion › Watches › Smartwatches & Activity tracker › Amoled,3199.0,vibez,Smartwatches & Activity tracker
JBL,3.8,46326.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",3999.0,jbl,Headphones
pTron,3.8,68563.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",799.0,ptron,Headphones
Acer,4.2,2875.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",10999.0,acer,Televisions
pTron,3.7,293.0,Electronics › Home Audio › Speakers › Bookshelf Speakers,498.0,ptron,Speakers
Logitech G,4.3,427.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Headsets,13995.0,logitech g,PC Gaming Peripherals
boAt,3.9,4197.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",4499.0,boat,Headphones
Avolusion,4.5,244.0,Computers & Accessories › External Devices & Data Storage › External Hard Disks,19306.0,avolusion,External Hard Disks
Portronics,4.0,3975.0,Electronics › Home Audio › Speakers › Outdoor Speakers,1849.0,portronics,Speakers
VU,4.4,3218.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",29990.0,vu,Televisions
JBL,3.8,46326.0,"Electronics › Headphones, Earbuds & Accessories › Headphones",2899.0,jbl,Headphones
Sony,4.3,3388.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",7990.0,sony,Headphones
STEAM DECK,4.1,16.0,Computers & Accessories › Accessories & Peripherals › Hard Disk Bags,63999.0,steam deck,Hard Disk Bags
BoAt,3.9,7782.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,1399.0,boat,Speakers
boAt,4.1,171504.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",999.0,boat,Headphones
Samsung,4.0,397.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,37499.0,samsung,Smartphones & Basic Mobiles
Sennheiser,4.1,959.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",15990.0,sennheiser,Headphones
Samsung,4.1,28289.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,9199.0,samsung,Smartphones & Basic Mobiles
FYURI,5.0,2.0,Toys & Games › Electronic Toys › Plug & Play Video Games,5400.0,fyuri,Plug & Play Video Games
Acer,3.5,10.0,Computers & Accessories › Laptops › Traditional Laptops,84990.0,acer,Traditional Laptops
Lenovo,3.8,182.0,Computers & Accessories › Laptops › Traditional Laptops,23980.0,lenovo,Traditional Laptops
ZEBRONICS,4.0,24.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",999.0,zebronics,Headphones
ASUS,3.9,80.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Headsets,9500.0,asus,PC Gaming Peripherals
HP,4.5,70.0,Computers & Accessories › Laptops › Traditional Laptops,92999.0,hp,Traditional Laptops
AYL,4.3,17.0,Electronics › Wearable Technology › Smart Watches,399.0,ayl,Smart Watches
Sony,4.2,8903.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › On-Ear",2099.0,sony,Headphones
boAt,4.1,62638.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",2799.0,boat,Headphones
Xiaomi,4.4,1415.0,Electronics › Wearable Technology › Smart Watches,5990.0,xiaomi,Smart Watches
ViewSonic,4.1,4933.0,Computers & Accessories › Monitors,15899.0,viewsonic,
Klipsch,4.5,44.0,Electronics › Home Audio › Speakers,48688.0,klipsch,Speakers
boAt,4.2,43732.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,1799.0,boat,Speakers
Samsung,4.2,7595.0,Home & Kitchen › Large Appliances › Refrigerators,13990.0,samsung,Refrigerators
Srhythm,4.3,12986.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",7599.0,srhythm,Headphones
Fastrack,4.0,1742.0,Electronics › Wearable Technology › Smart Watches,2499.0,fastrack,Smart Watches
Viart Creation,5.0,2.0,Toys & Games › Electronic Toys › Plug & Play Video Games,2599.0,viart creation,Plug & Play Video Games
Blaupunkt,3.8,11009.0,Electronics › Home Audio › Speakers › Soundbar Speakers,999.0,blaupunkt,Speakers
GSH,2.5,3.0,Toys & Games › Electronic Toys › Handheld Games,899.0,gsh,Handheld Games
Samsung,4.3,1087.0,Home & Kitchen › Large Appliances › Refrigerators,17990.0,samsung,Refrigerators
Marshall,4.6,1006.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,16998.0,marshall,Speakers
JBL,4.6,9.0,Electronics › Home Audio › Speakers › Ceiling & In Wall Speakers,17999.0,jbl,Speakers
BOSTON LEVIN,4.1,152.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",1199.0,boston levin,Headphones
Kingston,5.0,1.0,Computers & Accessories › Components › Memory,12999.0,kingston,Memory
soundcore,4.1,62881.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",3999.0,soundcore,Headphones
Marshall,4.4,932.0,Electronics › Home Audio › Speakers › Outdoor Speakers,18998.0,marshall,Speakers
IKALL,3.0,6.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,7314.0,ikall,Smartphones & Basic Mobiles
ZEBRONICS,3.2,11.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,1799.0,zebronics,Speakers
VU,4.2,4853.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",24290.0,vu,Televisions
Riviera THE BRAND OF NEW ERA,3.9,21.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",89.0,riviera the brand of new era,Headphones
Realme,4.0,36408.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,8399.0,realme,Smartphones & Basic Mobiles
GSH,5.0,2.0,Toys & Games › Electronic Toys › Handheld Games,7799.0,gsh,Handheld Games
MI,4.2,67782.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",31999.0,mi,Televisions
JCHPINE,4.4,105.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Joysticks,7461.0,jchpine,PC Gaming Peripherals
Titan,3.7,16.0,Electronics › Wearable Technology › Smart Watches,8995.0,titan,Smart Watches
Voacle,4.4,205.0,Toys & Games › Electronic Toys › Plug & Play Video Games,8949.0,voacle,Plug & Play Video Games
Vu,4.5,1548.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",79999.0,vu,Televisions
Marshall,4.4,4291.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,19999.0,marshall,Speakers
BoAt,3.9,7782.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,1499.0,boat,Speakers
GameSir,4.3,553.0,Video Games › No Cost EMI | Automated,14299.0,gamesir,
Logitech,3.9,50.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",10995.0,logitech,Headphones
MICROMINI,3.8,10.0,Video Games › Legacy Systems › PlayStation Systems › PSP › Consoles,6980.0,micromini,PlayStation Systems
Mivi,4.1,21334.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,599.0,mivi,Speakers
Lava,4.0,1796.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,9999.0,lava,Smartphones & Basic Mobiles
Crown,3.9,3.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",8300.0,crown,Televisions
Lenovo,3.2,41.0,Computers & Accessories › Laptops › Traditional Laptops,16499.0,lenovo,Traditional Laptops
BoAt,4.0,4414.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,899.0,boat,Speakers
JBL,4.1,57240.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",749.0,jbl,Headphones
HP,2.8,29.0,Computers & Accessories › Laptops › Traditional Laptops,15999.0,hp,Traditional Laptops
JBL,4.4,21286.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,13998.0,jbl,Speakers
IKALL,1.0,1.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,6299.0,ikall,Smartphones & Basic Mobiles
Marshall,4.1,238.0,Electronics › Home Audio › Speakers › Multimedia Speaker Systems,17998.0,marshall,Speakers
ASUS,3.1,3.0,Computers & Accessories › Laptops › Traditional Laptops,86990.0,asus,Traditional Laptops
Noise,4.1,55.0,Electronics › Wearable Technology › Smart Watches,2999.0,noise,Smart Watches
Sonos,4.7,843.0,Electronics › Home Audio › Speakers › Bookshelf Speakers,49998.2,sonos,Speakers
esportic,3.4,31.0,Electronics › Wearable Technology › Smart Watches,899.0,esportic,Smart Watches
Tribit,4.4,2580.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,8199.0,tribit,Speakers
Samsung,4.2,9813.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",30990.0,samsung,Televisions
Sennheiser,4.3,3946.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",27990.0,sennheiser,Headphones
JBL,4.4,21286.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,13999.0,jbl,Speakers
Nintendo,4.3,105.0,Video Games › Nintendo Switch › Consoles,18997.0,nintendo,Consoles
BoAt,4.1,391673.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",349.0,boat,Headphones
boAt,4.1,37091.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",399.0,boat,Headphones
NextTech,2.7,3.0,Toys & Games › Electronic Toys › Handheld Games,539.0,nexttech,Handheld Games
LEGO,4.9,89.0,Video Games › Legacy Systems › Xbox Systems,49899.0,lego,Xbox Systems
Nokia,3.1,1488.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,5899.0,nokia,Smartphones & Basic Mobiles
Westinghouse,3.8,262.0,"Electronics › Home Theater, TV & Video › Televisions › Standard Televisions",5999.0,westinghouse,Televisions
Mabron,3.4,8.0,Toys & Games › Electronic Toys › Handheld Games,919.0,mabron,Handheld Games
JBL,3.9,106919.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",499.0,jbl,Headphones
ASUS,4.5,12.0,Computers & Accessories › Laptops › Traditional Laptops,40920.0,asus,Traditional Laptops
TCL,4.0,863.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",59990.0,tcl,Televisions
OnePlus,4.1,11823.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",31999.0,oneplus,Televisions
Drumstone,2.8,3.0,Toys & Games › Electronic Toys › Plug & Play Video Games,3999.0,drumstone,Plug & Play Video Games
JBL,3.8,46326.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",2899.0,jbl,Headphones
LOPAZ,4.1,9.0,Electronics › Wearable Technology › Smart Watches,749.0,lopaz,Smart Watches
VYBE,3.0,20.0,Home & Kitchen › Large Appliances › Refrigerators,4849.0,vybe,Refrigerators
Fastrack,3.9,5028.0,Fashion › Watches › Smartwatches & Activity tracker › BT calling,1499.0,fastrack,Smartwatches & Activity tracker
NV,4.0,55.0,Video Games › PlayStation 5 › Accessories › Cases & Storage › Cases,251.0,nv,Accessories
connect2kidz,5.0,4.0,Electronics › Wearable Technology › Smart Watches,7999.0,connect2kidz,Smart Watches
Mabron,5.0,1.0,Toys & Games › Electronic Toys › Handheld Games,799.0,mabron,Handheld Games
